id,person id,first name,last name,email,country,affiliation,Web page,role,track_id,track name
1,22,Ademar,Aguiar,,Portugal,University of Porto,,PC member,3,T3
2,1,Muhammad Ovais,Ahmad,,Sweden,Karlstad University,,track chair,6,T6
3,1,Muhammad Ovais,Ahmad,,Sweden,Karlstad University,,PC member,3,T3
4,23,Fernando,Almeida,,Portugal,University of Porto,http://paginas.fe.up.pt/~ei98047/,PC member,3,T3
5,90,Glenda,Amaral,,Italy,Free University of Bozen-Bolzano,,PC member,2,T2
6,91,Dario,Amoroso d'Aragona,,Italy,Tampere University,https://damorosodaragona.github.io/,PC member,1,T1
7,92,Alvaro,Arenas,,Spain,"IE Business School, IE University",http://www.ie.edu/business-school/faculty-research/faculty/alvaro-arenas/,PC member,5,T5
8,24,Alessandra,Bagnato,,France,Softeam,,PC member,3,T3
9,93,Fernanda,Baião,,Brazil,PUC-Rio,,PC member,2,T2
10,94,Alexander,Bakhtin,,Finland,University of Oulu,,PC member,1,T1
11,25,João,Barata,,Portugal,University of Coimbra,,PC member,3,T3
12,26,Jörg,Becker,,Germany,University of Münster,http://www.ercis.de,track chair,5,T5
13,27,Woubshet,Behutiye,,Finland,University of Oulu,,PC member,3,T3
14,95,Lasse,Berntzen,,Norway,University of South-Eastern Norway,http://www.usn.no,PC member,6,T6
15,95,Lasse,Berntzen,,Norway,,http://www.usn.no,PC member,5,T5
16,96,Dominik,Bork,,Austria,TU Wien,,PC member,2,T2
17,7,Federico,Branco,,Portugal,,http://www.utad.pt,PC member,7,T7
18,97,Marian,Bubak,,Poland,AGH Krakow PL and University of Amsterdam NL,http://www.cyf-kr.edu.pl/~gebubak/,PC member,5,T5
19,98,Alena,Buchalcevova,,Czechia,University of Economics,,PC member,3,T3
20,28,Robert Andrei,Buchmann,,Romania,Babeș-Bolyai University of Cluj Napoca,,PC member,3,T3
21,28,Robert Andrei,Buchmann,,Romania,Babeș-Bolyai University of Cluj Napoca,,PC member,2,T2
22,99,Wojciech,Cellary,,Poland,Poznan University of Economics and Business,http://www.kti.ue.poznan.pl/wojciech_cellary.html,PC member,5,T5
23,20,Lina,Ceponiene,,Lithuania,,,PC member,7,T7
24,29,Tomas,Cerny,,United States,University of Arizona,,track chair,1,T1
25,30,François,Charoy,,France,Université de Lorraine - LORIA - Inria,http://www.loria.fr/~charoy,PC member,7,T7
26,222,Md Showkat Hossain,Chy,,United States,Baylor University,,PC member,1,T1
27,100,Uros,Cibej,,Slovenia,University of Ljubljana,,PC member,4,T4
28,101,Cristina Chuva,Costa,,Portugal,University of Coimbra,,PC member,1,T1
29,102,Ireneusz,Czarnowski,,Poland,Gdynia Maritime University,http://umg.edu.pl/i.czarnowski,PC member,4,T4
30,223,Gabriela,Czibula,,Romania,Babes-Bolyai University,,PC member,4,T4
31,31,Paulo Rupino,da Cunha,,Portugal,University of Coimbra,http://eden.dei.uc.pt/~rupino,track chair,1,T1
32,103,Tiago Silva,Da Silva,,Brazil,ICT/UNIFESP - Universidade Federal de São Paulo - Instituto de Ciência e Tecnologia,http://www.sjc.unifesp.br/,PC member,3,T3
33,104,Sergio,de Cesare,,United Kingdom,University of Westminster,,PC member,2,T2
34,105,Pavlos,Delias,,Greece,International Hellenic University,https://pavlosdeliassite.wordpress.com,PC member,4,T4
35,32,Boris,Delibašić,,Serbia,University of Belgrade,,track chair,4,T4
36,33,Anna,Derezinska,,Poland,"Institute of Computer Science, Warsaw University of Technology",,PC member,3,T3
37,224,Michal,Doležel,,Czechia,,https://nb.vse.cz/~qdolm05/,PC member,5,T5
38,106,Drazen,Draskovic,,Serbia,University of Belgrade - School of Electrical Engineering,http://www.etf.bg.ac.rs,PC member,4,T4
39,225,Helena,Dudycz,,Poland,,,PC member,5,T5
40,107,Arpita,Dutta,,Singapore,National University of Singapore,,PC member,3,T3
41,34,Dariusz,Dymek,,Poland,Krakow University of Economics,,PC member,7,T7
42,34,Dariusz,Dymek,,Poland,Cracow University of Economics,,PC member,1,T1
43,108,Michael,Dzandu,,United Kingdom,University of Westminster,,PC member,2,T2
44,109,Jens,Dörpinghaus,,Germany,Federal Institute for Vocational Education and Training (BIBB),,PC member,6,T6
45,110,Amr,Elsayed,,Egypt,Baylor University,,PC member,1,T1
46,111,Jacinto,Estima,,Portugal,"University of Coimbra, CISUC, Department of Informatics Engineering",https://jestima.github.io,PC member,1,T1
47,112,Pedropaulo,Favatobarcelos,,,,,PC member,2,T2
48,113,Pedro Paulo,Favatos Barcelos,,Netherlands,University of Twente,https://people.utwente.nl/p.p.favatobarcelos,PC member,2,T2
49,226,Samuel,Fosso-Wamba,,France,,http://fossowambasamuel.com/,PC member,5,T5
50,114,Yannick,Francillette,,Canada,UQAC,,PC member,3,T3
51,35,Renata,Gabryelczyk,,Poland,University of Warsaw,,PC member,7,T7
52,115,Frederik,Gailly,,Belgium,"Faculty of Economics and Business Adminsitration, Ghent University",,PC member,2,T2
53,116,Graham,Gal,,United States,Isenberg School of Management,,PC member,2,T2
54,117,Felix,Garcia,,Spain,"Alarcos Research Group, Information and Systems Department, Escuela Superior de informática, University of Castilla-La Mancha",http://alarcos.inf-cr.uclm.es/,PC member,2,T2
55,118,Gabriel,García-Mireles,,Mexico,Universidad de Sonora,,PC member,3,T3
56,36,Bartłomiej,Gawin,,Poland,University of Gdańsk,,PC member,7,T7
57,37,Mouzhi,Ge,,Germany,Deggendorf Institute of Technology,,PC member,4,T4
58,119,Hadi,Ghanbari,,Finland,Aalto University School of Business,,PC member,6,T6
59,120,Krzysztof,Goczyła,,Poland,Gdansk University of Technology,,PC member,2,T2
60,120,Krzysztof,Goczyła,,Poland,Gdansk University of Technology,,PC member,5,T5
61,121,Xun,Gong,,China,South west Jiaotong University,,PC member,5,T5
62,122,Tony,Gorschek,,Sweden,BTH,http://www.gorschek.com,PC member,3,T3
63,8,Janis,Grabis,,,Riga Technical University,,PC member,7,T7
64,9,Jānis,Grabis,,Latvia,Riga Technical University,http://iti.rtu.lv/vitk/en/employees/grabis-janis,PC member,7,T7
65,38,Mariusz,Grabowski,,Poland,"Krakow University of Economics, Poland",http://janek.uek.krakow.pl/~grabowsm/,PC member,7,T7
66,38,Mariusz,Grabowski,,Poland,Cracow University of Economics,http://janek.uek.krakow.pl/~grabowsm/,PC member,1,T1
67,39,Eduardo,Guerra,,Brazil,Free University of Bolzen-Bolzano,,PC member,3,T3
68,123,Tomas,Gustavsson,,Sweden,Karlstads universitet,https://www.kau.se/forskare/tomas-gustavsson,PC member,6,T6
69,124,Ridewaan,Hanslo,,South Africa,University of Pretoria,,PC member,3,T3
70,125,Igor,Hawryszkiewycz,,Australia,"University of Technology, Sydney",http://www-staff.it.uts.edu.au/~igorh,PC member,3,T3
71,126,Sen,He,,United States,The University of Arizona,,PC member,1,T1
72,40,Samedi,Heng,,Belgium,UCLouvain,,PC member,3,T3
73,127,Sebastian,Herold,,Sweden,"Karlstad University, Department of Computer Science",http://www.kau.se/cs,PC member,1,T1
74,128,Bogumila,Hnatkowska,,Poland,"Institute of Informatics, Wroclaw University of Technology",,PC member,2,T2
75,129,Helena,Holmström Olsson,,Sweden,University of Malmo,,PC member,6,T6
76,41,Danial,Hooshyar,,Estonia,University of Tartu,,PC member,6,T6
77,130,Adrian,Iftene,,Romania,"""Alexandru Ioan Cuza"" University of Iasi",http://profs.info.uaic.ro/~adiftene,PC member,4,T4
78,131,Radu Tudor,Ionescu,,Romania,"University of Bucharest, Faculty of Mathematics and Computer Science",http://fmi.unibuc.ro,PC member,4,T4
79,42,Hasan,Jamil,,United States,University of Idaho,http://www2.cs.uidaho.edu/~jamil/,PC member,6,T6
80,43,Andrea,Janes,,Austria,FHV Vorarlberg University of Applied Sciences,,PC member,3,T3
81,43,Andrea,Janes,,Austria,FHV Vorarlberg University of Applied Sciences,,PC member,1,T1
82,132,Tomasz,Janowski,,Poland,Gdańsk University of Technology,"https://mostwiedzy.pl/en/tomasz-janowski,1131039-1/bio",PC member,5,T5
83,44,Arkadiusz,Januszewski,,Poland,UTP University of Science and Technology,,PC member,7,T7
84,45,Aleksander,Jarzebowicz,,Poland,Gdansk University of Technology,,PC member,3,T3
85,133,Piotr,Jedrzejowicz,,Poland,Gdynia Maritime University,,PC member,5,T5
86,46,Marius Rohde,Johannessen,,Norway,University of South-Eastern Norway,,PC member,7,T7
87,47,Björn,Johansson,,Sweden,Linköping University,,PC member,3,T3
88,134,Miloš,Jovanović,,Serbia,"Faculty of Organizational Sciences, University of Belgrade",http://www.fon.bg.ac.rs,PC member,4,T4
89,2,Georgia,Kapitsaki,,Cyprus,University of Cyprus,http://www.cs.ucy.ac.cy/~gkapi/,track chair,6,T6
90,135,Georgia,Kapitsaki,,Cyprus,University of Cyprus,,PC member,3,T3
91,136,Dimitris,Karagiannis,,Austria,University of Vienna,http://www.dke.univie.ac.at,PC member,3,T3
92,48,Marija,Katic,,United Kingdom,University of London,,PC member,3,T3
93,49,Kathrin,Kirchner,,Denmark,Technical University of Denmark,,PC member,7,T7
94,10,Mārīte,Kirikova,,Latvia,Riga Technical University,https://ortus.rtu.lv/science/en/experts/1244,track chair,7,T7
95,137,Styliani,Kleanthous,,Cyprus,CYENS CoE and Open University of Cyprus,,PC member,6,T6
96,138,Mirjana,Kljajić Borštnar,,Slovenia,,,PC member,4,T4
97,227,Vitaliy,Kobets,,Ukraine,Kherson State University,http://www.ksu.ks.ua/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff/KobetzVN.aspx,PC member,5,T5
98,50,Ella,Kolkowska,,Sweden,Örebro University,,PC member,7,T7
99,51,Sylwia,Kopczyńska,,Poland,Poznan University of Technology,,PC member,3,T3
100,228,Henryk,Krawczyk,,Poland,Gdańsk University of Technology,,PC member,5,T5
101,139,Marek,Kretowski,,Poland,Bialystok University of Technology,,PC member,4,T4
102,52,Martin,Kropp,,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland,http://www.fhnw.ch,PC member,3,T3
103,140,Natalia,Kryvinska,,Slovakia,"Head of Information Systems Department, Faculty of Management Comenius University in Bratislava, Slovakia",,PC member,4,T4
104,141,Miklós,Krész,,Hungary,University of Szeged,,PC member,4,T4
